loss,abbr,descr
15.0235,*CH3,Methyl-radical
18.0106,H2O,Water
20.0062,HF,Hydro-fluoride
27.0109,HCN,Hydrocyanide
27.9949,CO,Carbon-monoxide
28.0313,C2H4,Ethene
29.998,*NO,Nitrosyl-radical
30.0106,H2C=O,Formaldehyde
31.0058,HNO,Nitroxyl
32.0262,CH3OH,Methanol
33.9877,H2S,Dihydrosulphur
34.9683,Cl*,Chlorine-radical
35.9767,HCl,Hydrochloride
36.0211,2xH2O,2xWater
42.0106,H2C=C=O,Ethenone
42.047,CH3CH=CH2,Propene
43.0058,HN=C=O,Hydrogen-isocyanate
43.9898,CO2,Carbon-dioxide
44.0136,H2NCO*,Carbamoyl-radical
44.0262,CH3CHO,Ethanal
45.9924,*NO2,Nitryl-radical
46.0055,HCOOH,Formic-acid
46.0419,C2H5OH,Ethanol
47.967,SO,Sulfur-monoxide
55.9898,C2O2,Ethenedione
58.0055,C2H2O2,Oxiran-2-one
58.0419,(CH3)2C=O,Acetone
60.0211,CH3COOH,Acetic-acid
60.0581,C3H7OH,Propanol
63.9619,SO2,Sulfur-dioxide
68.9958,*CF3,Aromatic-trifluoromethyl-derivates
70.003,HCF3,Trifluoromethyl-derivates
77.9776,H2S+CO2,Cephalosporin-derived
78.047,C6H6,Phenyl-derivatives
78.9178,Br*,Bromine
78.9728,HNSO2,Sulfonamide-diuretic-derived
79.9568,SO3,Sulfate-derived
79.9256,HBr,Hydrobromine
79.9806,H2NSO2*,Sulfuramidous-acid-radical
86.9956,C2HNO3,Barbiturate-derived
90.9728,HCN+SO2,Thiazide-diuretic-derived
91.0548,C6H5CH2*,Benzyl-radical
97.9674,H2SO4,Steroid-sulfate-conjugates
113.0477,C5H7NO2,Cephalosporin-derived
119.0371,C6H5-N=C=O,Phenyl-isocyanate
123.0326,C6H5NO2,Nitrobenzene-derivates
123.9748,C2H5O2PS,Dimethyl-phosphoro(di)thioate-pesticides-derived
126.9045,I*,Iodine
127.9123,HI,Hydroiodide
141.0426,C6H7NO3,Penicillin-derived
152.0061,C4H9O2PS,Diethyl-phosphorothioate-pesticide-derived
157.0197,C6H7NO2S,Cephalosporin-derived
176.0321,C6H8O6,Glucuronic-acid-derived
183.0132,C8H3F2NO2,Benzoylphenylurea-derived
194.0421,C6H10O7,Aliphatic-glucuronic-acid-conjugate-derived
