loss,descr,abbr
15.0235,Methyl-radical,*CH3
15.9949,Oxygen,O
16.0313,Ammonium,CH4
17.0027,Hydroxyl-radical,*OH
20.0062,Hydrofluorine,HF
26.0157,Ethyne,C2H2
27.0109,Hydrocyanide,HCN
28.0062,Dinitrogen,N2
29.0027,Formyl-radical,*CHO
29.998,Nitrosyl-radical,*NO
31.0058,Nitroxyl,HNO
31.0184,Methoxy-radical,CH3O*
31.0422,Methylamine,CH3NH2
31.9721,Sulfur,S
32.0262,Methanol,CH3OH
33.034,Water+Methoxy-radical,H2O+*CH3
41.0266,Methylcyano,H3C-CN
43.0058,Hydrogen-isocyanate,HN=C=O
43.0171,Ammonia,HN3
43.0422,Secondary-N-methyl-amine,H3C-N=CH2
43.0548,Propyl-radical,*C3H7
44.0136,Carbamoyl-radical,H2NCO*
44.0262,Ethanal,CH3CHO
45.0215,Formamide,HCONH2
45.0579,N-ethyl-amino,CH3CH2NH2
45.9924,Nitryl-radical,*NO2
46.995,Methylthio-radical,CH3S*
47.0007,Nitrous-acid,HNO2
47.967,Sulfur-monoxide,SO
48.0034,Methanethiol,CH3SH
49.9923,Chloromethane,CH3Cl
49.9968,Difluorocarbene,CF2
54.047,Butadiene,C4H6
55.9898,Ethenedione,C2O2
56.0262,Propylene-aldehyd,CH3CH=C=O
56.0626,Butene,C4H8
57.0215,N-Methyl-carbamate-derived,H3C-N==C==O
57.0579,N-ethyl-amino-derived,C3H7N
59.0735,Propylamine-derived,C3H7NH2
63.9441,Disulfur,S2
63.9619,Sulfur-dioxide,SO2
65.9776,Sulfonamide-derived,H2+SO2
68.0374,Imidazole-derived,C3H4N2
69.0327,Triazole-derived,C2H3N3
70.0351,Pyrazoline-derived,C3H6N2
71.0735,Pyrrolidinophenone-derived,C4H9N
73.0528,N-Dimethyl-phenylurea-herbicides-derived,C3H7NO
73.0891,N-tert-Butyl-derived,C4H11N
74.0368,Ethyl-ester-derived,HCOOCH2CH3
74.0732,N-tert-Butanol-derivates,C4H9OH
77.0841,Propylamine+water,C3H7NH2+H2O
78.047,Phenyl-derivatives,C6H6
79.9806,Sulfuramidous-acid-radical,H2NSO2*
80.9641,Sulfonic-acid-derived,HSO3*
82.0783,Cyclohexane-derivatives,C6H10
87.0684,Morpholine-derived,C4H9NO
87.1048,Phenothiazines-derived,C5H13N
91.0997,tert-Butylamine+water,C4H9NH2+H2O
93.0579,N-Aniline-derivates,C6H7N
98.019,Methyl-thiophene,C5H6S
100.1,Phenothiazine-derived,C5H12N2
103.0422,Benzonitrile,C6H5CN
104.0626,Ethylbenzene-derived,C6H5-CH=CH2
112.008,Chlorobenzene-derived,C6H5Cl
115.0997,1-(iso-propylamino)-3-phenoxypropan-2-ol-derived,C6H13NO
119.0371,Phenyl-isocyanate,C6H5-N=C=O
121.0328,Fluorobenzonitrile,FC6H4-CN
122.0732,Methoxytoluene,CH3OC6H4CH3
126.0082,Dimethyl-phosphate,C2H7O4P
128.0626,Naphthoyl-derived,C10H8
128.1313,Phenothiazines-derived,C7H16N2
136.0289,Aryl-diethylphosphate-derived,C4H9O3P
137.0032,Chlorobenzonitrile,ClC6H4CN
137.0841,1-(2-Methoxyphenyl)methanamine,C8H11NO
141.9854,Dimethyl-phosphorothioate-pesticide-derived,C2H7O3PS
152.0061,Diethyl-phosphorothioate-pesticide-derived,C4H9O2PS
154.0395,Aliphatic-diethyl-phosphate-substituents,C4H11O4P
155.0041,Sulfonamide-antibiotic-derived,HN=C6H4=SO2
157.9625,Dimethyl-phosphorodithioate-pesticide-derived,C2H7O2PS2
164.0637,Butyrophenone-derived,C10H9FO
183.0756,Sulfonylurea-herbicide-derived,C6H9N5O2
185.9938,Aliphatic-diethyl-phosphorodithioate-derived,C4H11O2PS2
187.9796,Imidazole-fungicide-derived,C8H6Cl2O
198.0753,Sulfonylurea-herbicide-derived,C7H10N4O3
